Security Code,Security Id,Security Name,Group,Face Value,ISIN No,Industry
503772,MODWOOL,MODELLA WOOLLENS LTD.,X ,10,INE380D01012,Comm.Trading  & Distribution
503776,MODIPON,MODIPON LTD.,X ,10,INE170C01019,Agrochemicals
503804,SHRIDINE,SHRI DINESH MILLS LTD.-$,X ,10,INE204C01024,Textiles
503806,SRF,SRF LTD.,A ,10,INE647A01010,Diversified
503811,SIYSIL,SIYARAM SILK MILLS LTD.-$,B ,2,INE076B01028,Textiles
503816,SWADPOL,SWADESHI POLYTEX LTD.,XT,1,INE243N01029,Textiles
503831,FOMEHOT,FOMENTO RESORTS & HOTELS LTD.,X ,10,INE241E01014,Hotels
503837,SHRAJSYNQ,SHREE RAJASTHAN SYNTEX LTD.-$,X ,10,INE796C01011,Textiles
503863,SHRMFGC,SHREE MANUFACTURING CO.LTD.,XT,10,INE632A01012,Textiles
503893,ZSATYASL,SATYAM SILK MILLS LTD.,P ,10,INE07MC01015,Other Financial Services
503960,BBL,BHARAT BIJLEE LTD.-$,B ,10,INE464A01028,Other Elect.Equip./ Prod.
504000,ELPROINTL,ELPRO INTERNATIONAL LTD.,X ,1,INE579B01039,Other Elect.Equip./ Prod.
504008,EMCO,EMCO LTD.-$,Z ,2,INE078A01026,Heavy Electrical Equipment
504028,GEE,GEE LTD.,X ,2,INE064H01021,Other Industrial Goods
504036,HIRECT,HIND RECTIFIERS LTD.,B ,2,INE835D01023,Electronic Components
504058,NIPPOBATRY,INDO-NATIONAL LTD.,B ,10,INE567A01010,Non-Durable Household Prod.
504067,ZENSARTECH,ZENSAR TECHNOLOGIES LTD.,A ,2,INE520A01027,IT Consulting & Software
504076,JYOTI,JYOTI LTD.-$,XT,10,INE511D01012,Heavy Electrical Equipment
504080,JSLINDL,JSL INDUSTRIES LTD.,XT,10,INE581L01018,Other Elect.Equip./ Prod.
504084,KAYCEEI,KAYCEE INDUSTRIES LTD.,X ,100,INE813G01015,Other Elect.Equip./ Prod.
504092,INDOKEM,INDOKEM LTD.,X ,10,INE716F01012,Specialty Chemicals
504093,PANAENERG,PANASONIC ENERGY INDIA COMPANY LTD.-$,X ,10,INE795A01017,Non-Durable Household Prod.
504112,NELCO,NELCO LTD.,B ,10,INE045B01015,IT Networking Equipment
504132,PERMAGN,PERMANENT MAGNETS LTD.-$,X ,10,INE418E01018,Other Industrial Goods
504176,HIGHENE,HIGH ENERGY BATTERIES (INDIA) LTD.,X ,10,INE783E01015,Non-Durable Household Prod.
504180,STDBAT,STANDARD BATTERIES LTD.,X ,1,INE502C01039,Finance (including NBFCs)
504212,UNIVCABLES,UNIVERSAL CABLES LTD.,B ,10,INE279A01012,Other Elect.Equip./ Prod.
504220,WSIND,W.S.INDUSTRIES (INDIA) LTD.-$,B ,10,INE100D01014,Industrial Machinery
504240,DLTNCBL,DELTON CABLES LTD.,X ,10,INE872E01016,Other Elect.Equip./ Prod.
504258,LAKSELEC,LAKSHMI ELECTRICAL CONTROL SYSTEMS LTD.,X ,10,INE284C01018,Other Elect.Equip./ Prod.
504273,MODULEX,Modulex Construction Technologies Ltd,X ,10,INE064R01012,Construction & Engineering
504286,DELTAMAGNT,Delta Manufacturing Ltd,B ,10,INE393A01011,Other Elect.Equip./ Prod.
504335,PAZEL,Pazel International Ltd,X ,1,INE040N01029,Comm.Trading  & Distribution
504340,CONFINT,Confidence Finance And Trading Limited,X ,10,INE180M01033,Other Financial Services
504341,RELTD,Ravindra Energy Ltd,X ,10,INE206N01018,Other Financial Services
504346,GDTRAGN,G.D.TRADING & AGENCIES LTD.,P ,10,INE713N01013,Other Financial Services
504351,EMPOWER,EMPOWER INDIA LTD.,X ,1,INE507F01023,IT Consulting & Software
504356,ZMULTIPU,MULTIPURPOSE TRADING & AGENCIES LTD.,XT,10,INE017P01014,Diversified Commercial Services
504360,REMISIN,REMI SALES & ENGINEERING LTD.,XT,10,INE130I01010,Comm.Trading  & Distribution
504365,RIDHISYN,RIDHI SYNTHETICS LTD.,P ,10,INE07LK01010,Other Financial Services
504375,SOFTBPO,SOFTBPO GLOBAL SERVICES LTD.,P ,10,INE459E01012,IT Consulting & Software
504378,NYSSACORP,Nyssa Corporation Limited,XT,1,INE812K01027,Comm.Trading  & Distribution
504380,ZVINADTR,VINADITYA TRADING CO.LTD.,XT,10,INE952M01019,Comm.Trading  & Distribution
504390,AVTIL,AVTIL Enterprise Ltd,XT,10,INE292N01018,Other Financial Services
504392,KRISHNA,Krishna Ventures Limited,XT,10,INE537L01010,Other Financial Services
504397,GANHOLD,GANESH HOLDINGS LTD.,XT,10,INE932M01011,Diversified Commercial Services
504398,SJCORP,SJ CORPORATION LTD.,X ,1,INE312B01027,Other Apparels & Accessories
504605,UNIABEXAL,UNI ABEX ALLOY PRODUCTS LTD.,X ,10,INE361D01012,Iron & Steel Products
504614,SARDAEN,SARDA ENERGY & MINERALS LTD.-$,B ,10,INE385C01013,Iron & Steel/Interm.Products
504646,BGWTATO,BHAGWATI AUTOCAST LTD.,X ,10,INE106G01014,Auto Parts & Equipment
504648,BOMBWIR,BOMBAY WIRE ROPES LTD.,XT,1,INE089T01023,Iron & Steel Products
504673,UNIVPRIM,UNIVERSAL PRIME ALUMINIUM LTD.,XT,10,INE621D01019,Aluminium
504697,GALADA,GALADA POWER & TELECOMMUNICATION LTD.,XT,10,INE255C01018,Other Elect.Equip./ Prod.
504717,STRIPMT,STEEL STRIPS LTD.,XT,10,INE01RN01014,Iron & Steel/Interm.Products
504731,IBRIGST,INDIAN BRIGHT STEEL CO.LTD.,XT,10,INE566M01017,Iron & Steel/Interm.Products
504741,INDIANHUME,INDIAN HUME PIPE CO.LTD.,B ,2,INE323C01030,Cement & Cement Products
504746,INLCM,INDIAN LINK CHAIN MANUFACTURES LTD.,P ,100,INE359D01016,Other Industrial Products
504786,INVPRECQ,INVESTMENT & PRECISION CASTINGS LTD.,X ,10,INE155E01016,Other Industrial Products
504810,INFORTEC,INFORMED TECHNOLOGIES INDIA LTD.,X ,10,INE123E01014,BPO/KPO
504840,KAIRA,KAIRA CAN CO.LTD.,X ,10,INE375D01012,Containers & Packaging
504879,ORIENTABRA,ORIENT ABRASIVES LTD.-$,B ,1,INE569C01020,Other Industrial Products
504882,NATIONSTD,NATIONAL STANDARD (INDIA) LTD.,X ,10,INE166R01015,Realty
504908,DUNCANENG,Duncan Engineering Ltd-$,X ,10,INE340F01011,Auto Parts & Equipment
504918,SANDUMA,SANDUR MANGANESE & IRON ORES LTD.,X ,10,INE149K01016,Mining
504959,STOVACQ,STOVEC INDUSTRIES LTD.,X ,10,INE755D01015,Industrial Machinery
504961,TATAYODOGA,TAYO ROLLS LTD.-$,XT,10,INE895C01011,Iron & Steel/Interm.Products
504966,TINPLATE,TINPLATE COMPANY OF INDIA LTD.,B ,10,INE422C01014,Containers & Packaging
504973,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd,A ,1,INE149A01033,Holding Companies
504988,ZWELCAST,WELCAST STEELS LTD.,X ,10,INE380G01015,Other Industrial Products
504998,WMINIMT,WESTERN MINISTIL LTD.,P ,10,INE187U01015,Iron & Steel/Interm.Products
505010,AUTOAXLES,AUTOMOTIVE AXLES LTD.,B ,10,INE449A01011,Auto Parts & Equipment
505029,ATLASCYCLE,ATLAS CYCLES (HARYANA) LTD.,T ,5,INE446A01025,2/3 Wheelers
505036,ACGL,AUTOMOBILE CORPORATION OF GOA LTD.-$,X ,10,INE451C01013,Auto Parts & Equipment
505075,SETCO,SETCO AUTOMOTIVE LTD.,B ,2,INE878E01021,Auto Parts & Equipment
505141,SCOOTER,SCOOTERS INDIA LTD.,T ,10,INE959E01011,2/3 Wheelers
